time_start_demog,time_diff_trials,sex,screenWidth,time_start_experiment,windowWidth,monitor,comments,timestamp,time_diff_demog,time_end_demog,time_diff_experiment,degree,workerID,time_end_trials,time_end_experiment,postId,browserVersion,participantCount,workerId,age,screenHeight,windowHeight,time_start_trials,browser
1452624786768,350469,Female,1920,1452624761369,1503,15,Leave feedback her,1452625344970,25035,1452624811803,418974,High School,AT87GQ24,1452625180339,1452625180343,ijbr9z8y,47,20,AT87GQ24,40-49,1080,858,1452624829870,Chrome
1452624757851,428457,Male,1920,1452624714960,1280,19,none,1452625281262,11428,1452624769279,538118,High School,DP10GH66,1452625253078,1452625253078,ijbr8zg5,47,10,DP10GH66,50-59,1032,647,1452624824621,Chrome
1452625455975,198813,Female,768,1452625441513,980,11,"Thanks, that was great and easy!",1452625699497,3971,1452625459946,222723,High School,YL95OK46,1452625664222,1452625664236,ijbrojth,8,123,YL95OK46,18-24,1004,1184,1452625465409,Safari
1452625217596,147399,Male,1600,1452625131061,1455,23 or larger,"Thanks, good luck with your research.",1452625401452,5220,1452625222816,244397,Bachelors,TQ90CN97,1452625375458,1452625375458,ijbrhwhq,47,86,TQ90CN97,40-49,1170,1008,1452625228059,Chrome
1452625200574,211095,Male,1440,1452625197720,1440,17,,1452625404858,4652,1452625205226,220830,High School,DT31LC67,1452625418539,1452625418550,ijbrjbx6,47,92,DT31LC67,25-29,860,799,1452625207444,Chrome
1452625765955,351661,Male,1366,1452625730209,1366,19,,1452626156441,9331,1452625775286,417289,Masters,MN27OT69,1452626147483,1452626147498,ijbruql5,47,153,MN27OT69,30-39,728,667,1452625795822,Chrome
1452628961111,431258,Male,1920,1452628944440,1920,17,Leave feedbacThank you for the chance to help with your researchk here,1452629436655,6327,1452628967438,462620,High School,FV46RL97,1452629407057,1452629407060,ijbtrmsm,47,188,FV46RL97,30-39,1040,979,1452628975799,Chrome
1452624686240,575662,Female,1366,1452624671529,1366,17,Thank you,1452625301475,7029,1452624693269,607533,High School,JW59CH35,1452625279045,1452625279062,ijbr81vd,47,4,JW59CH35,30-39,728,643,1452624703383,Chrome
1452624994063,346335,Male,1680,1452624969476,1680,19,No comments,1452625394723,10706,1452625004769,392270,High School,UO22OF11,1452625361737,1452625361746,ijbrefsi,47,66,UO22OF11,30-39,1010,925,1452625015402,Chrome
1452625445197,409412,Female,1440,1452625423098,1440,19,great study! thanks!,1452625879674,6513,1452625451710,445435,High School,YO30RO74,1452625868517,1452625868533,ijbro5ub,47,120,YO30RO74,30-39,860,799,1452625459105,Chrome
1452626104664,252752,Female,1360,1452626083276,1360,15,none thank you,1452626403235,7503,1452626112167,292494,High School,NX51CE58,1452626375755,1452626375770,ijbs2b88,Opera 33,170,NX51CE58,25-29,728,631,1452626123003,Opera 33
1452624839858,422871,Female,1366,1452624834480,1366,19,n/a,1452625281941,5947,1452624845805,436601,Masters,DP88GD78,1452625271073,1452625271081,ijbrbjmj,47,38,DP88GD78,30-39,728,643,1452624848202,Chrome
1452624733622,650715,Male,1920,1452624685086,1920,23 or larger,Everything worked well.,1452625452191,4880,1452624738502,706952,High School,WE94KN27,1452625392035,1452625392038,ijbr8cah,47,10,WE94KN27,25-29,1040,911,1452624741320,Chrome
1452624984248,218628,Female,1366,1452624962589,1366,15,great hit,1452625240944,9205,1452624993453,254180,High School,HV89LJ51,1452625216754,1452625216769,ijbre9aa,47,60,HV89LJ51,30-39,728,667,1452624998126,Chrome
1452627012432,291946,Male,1920,1452626964916,1920,23 or larger, ,1452627503599,145940,1452627158372,527336,High School,QD37CY50,1452627492247,1452627492252,ijbsl7kl,47,183,QD37CY50,25-29,1040,955,1452627200301,Chrome
